city,lat,lng,population,city_clean
Gyōda,36.1389,139.4556,78488,Gyoda
Kashiba,34.5413,135.699,78346,Kashiba
Kizugawa,34.7371,135.8201,78035,Kizugawa
Aira,31.7282,130.6278,77948,Aira
Honjō,36.2433,139.1906,77900,Honjo
Toyomamachi-teraike,38.6579,141.2764,77897,Toyomamachi-teraike
Katano,34.788,135.68,77401,Katano
Tsubame,37.6669,138.9259,77382,Tsubame
Fukuchiyama,35.2967,135.1266,77150,Fukuchiyama
Nikkō,36.7198,139.6982,77027,Nikko
Nabari,34.6277,136.1083,77022,Nabari
Toyooka,35.5445,134.8202,77005,Toyooka
Shinkai,35.8234,139.5742,76445,Shinkai
Daisen,39.4531,140.4754,76164,Daisen
Ryūgasaki,35.9116,140.1823,76055,Ryugasaki
Kiyose,35.7857,139.5265,75389,Kiyose
Kai,35.6608,138.5158,75337,Kai
Kunitachi,35.6839,139.4414,75133,Kunitachi
Warabi,35.8256,139.6797,74996,Warabi
Amakusa,32.4587,130.193,74861,Amakusa
Sasagawa,37.2869,140.3726,74778,Sasagawa
Tosu,33.3778,130.5061,74673,Tosu
Katori,35.8835,140.5238,74469,Katori
Miki,34.7969,134.9902,74255,Miki
Izumiōtsu,34.5043,135.4104,74175,Izumiotsu
Okegawa,36.0028,139.5585,74115,Okegawa
Tatebayashi,36.2448,139.5421,73991,Tatebayashi
Kyōtanabe,34.8144,135.7677,73985,Kyotanabe
Tatsunochō-tominaga,34.8579,134.5454,73952,Tatsunocho-tominaga
Yurihonjō,39.3859,140.0488,73840,Yurihonjo
Kasama,36.3452,140.3043,73521,Kasama
Inuyama,35.3844,136.9391,73420,Inuyama
Ōtawara,36.8711,140.0155,73189,Otawara
Shibukawa,36.4895,139.0004,73064,Shibukawa
Hekinan,34.8847,136.9934,72480,Hekinan
Dazaifu,33.5129,130.5238,72430,Dazaifu
Yukuhashi,33.7287,130.983,72376,Yukuhashi
Yoshikawa,35.8958,139.8556,72139,Yoshikawa
Chiryū,35.0013,137.0508,71907,Chiryu
Ishioka,36.1908,140.2872,71851,Ishioka
Musashimurayama,35.7548,139.3874,71183,Musashimurayama
Yawata-shimizui,34.8756,135.7076,70373,Yawata-shimizui
Eniwa,42.8826,141.5778,70102,Eniwa
Tsurugashima,35.9358,139.3944,70067,Tsurugashima
Kiyosu,35.2168,136.8369,69687,Kiyosu
Minami-Alps,35.6083,138.465,69642,Minami-Alps
Uwajima,33.2233,132.5606,69639,Uwajima
Rittō,35.0216,135.998,69598,Ritto
Sōja,34.6761,133.7463,69428,Soja
Toyoake,35.0536,137.0128,69389,Toyoake
Anan,33.9218,134.6595,69259,Anan
Moriya,35.9514,139.9754,68992,Moriya
Tanabe,33.728,135.3777,68986,Tanabe
Sabae,35.9565,136.1843,68666,Sabae
Ōdate,40.2714,140.5644,67865,Odate
Kashiwara,34.5793,135.6286,67757,Kashiwara
Fuefuki,35.6473,138.6397,67396,Fuefuki
Shiojiri,36.1,137.9667,67240,Shiojiri
Chiyoda-ku,35.6939,139.7536,67036,Chiyoda-ku
Kashima,35.9656,140.6448,67001,Kashima
Saiki,32.8861,131.7761,66497,Saiki
Yachimata,35.6659,140.3179,66430,Yachimata
Hashima,35.3199,136.7033,66312,Hashima
Tsuruga,35.6478,136.0644,66123,Tsuruga
Fukutsu,33.7668,130.4911,65770,Fukutsu
Ina,35.8275,137.954,65670,Ina
Kitamoto,36.0269,139.5302,65191,Kitamoto
Tomigusuku,26.1772,127.6813,64850,Tomigusuku
Fujioka,36.2585,139.0746,64539,Fujioka
Yanagawa,33.1631,130.4058,64120,Yanagawa
Sodegaura,35.43,139.9544,63975,Sodegaura
Tenri,34.5967,135.8372,63760,Tenri
Kurihara,38.7301,141.0215,63689,Kurihara
Asahi,35.7344,140.6556,63507,Asahi
Fujiidera,34.5742,135.5975,63338,Fujiidera
Nago,26.5916,127.9776,63060,Nago
Kaga,36.3028,136.315,62997,Kaga
Miyoshi,35.0894,137.0748,62963,Miyoshi
Tamana,32.9461,130.5763,62784,Tamana
Nagakute,35.1841,137.0487,62473,Nagakute
Tendō,38.3621,140.3784,61981,Tendo
Tagajō,38.2938,141.0043,61937,Tagajo
Mitoyo,34.1826,133.7151,61838,Mitoyo
